v1,v2,v3,v4
424,57.8,37.5,Municipal - Corporacion
864,65.2,48,Municipal - Corporacion
286,68.2,47.6,Municipal - Corporacion
282,74.1,54.3,Municipal - Corporacion
968,62.2,41.7,Municipal - Corporacion
208,15.4,11.5,Municipal - Corporacion
788,72.7,56.1,Municipal - Corporacion
433,63,42.5,Municipal - Corporacion
374,69,50.8,Municipal - Corporacion
217,81.6,61.8,Municipal - Corporacion
263,82.9,68.4,Municipal - Corporacion
294,55.4,33,Municipal - Corporacion
337,80.4,62.9,Municipal - Corporacion
276,71.7,51.4,Particular Subvencionado
769,33,19,Particular Subvencionado
746,34.3,20.2,Particular Subvencionado
603,48.3,28.5,Particular Subvencionado
638,25.2,13.5,Particular Subvencionado
563,49.6,31.1,Particular Subvencionado
618,43.9,27.7,Particular Subvencionado
565,39.1,22.8,Particular Subvencionado
653,30.9,15.6,Particular Subvencionado
490,34.5,19.2,Particular Subvencionado
301,80.4,65.8,Municipal - DAEM
579,66.7,54.2,Municipal - DAEM
21,76.2,66.7,Municipal - DAEM
96,75,62.5,Municipal - DAEM
48,75,60.4,Municipal - DAEM
199,80.9,69.8,Municipal - DAEM
194,60.8,47.4,Municipal - DAEM
361,79.8,64.3,Municipal - DAEM
450,57.6,46.2,Municipal - DAEM
56,91.1,75,Municipal - DAEM
182,88.5,74.2,Municipal - DAEM
132,75,59.1,Municipal - DAEM
270,55.6,32.6,Municipal - DAEM
577,77.3,65,Municipal - DAEM
35,88.6,80,Municipal - DAEM
623,42.7,26.8,Particular Subvencionado
208,48.6,20.2,Particular Subvencionado
321,72.3,55.5,Municipal - DAEM
700,67,45.7,Municipal - DAEM
594,84.3,67.3,Municipal - DAEM
444,88.7,72.1,Municipal - DAEM
421,91.9,77.2,Municipal - DAEM
388,85.6,66.8,Municipal - DAEM
906,75.8,54.3,Municipal - DAEM
463,86.2,67,Municipal - DAEM
468,82.1,56.2,Municipal - DAEM
192,88.5,75,Municipal - DAEM
725,51.3,32.4,Municipal - DAEM
524,73.5,52.9,Municipal - DAEM
629,63.3,43.7,Municipal - DAEM
841,76,55.4,Municipal - DAEM
808,88.2,69.7,Municipal - DAEM
265,83,62.6,Municipal - DAEM
840,67.1,46,Municipal - DAEM
200,85.5,66.5,Municipal - DAEM
320,75.3,52.5,Municipal - DAEM
1181,38.4,22.5,Particular Subvencionado
674,70.8,50,Particular Subvencionado
542,53.9,33,Particular Subvencionado
589,61.1,44.1,Particular Subvencionado
647,70.8,49,Particular Subvencionado
3,100,66.7,Municipal - DAEM
633,81.5,67,Particular Subvencionado
181,89.5,66.3,Municipal - DAEM
361,80.9,60.4,Municipal - DAEM
349,89.4,76.2,Municipal - DAEM
48,97.9,85.4,Municipal - DAEM
30,90,73.3,Municipal - DAEM
18,94.4,66.7,Municipal - DAEM
199,91,81.4,Municipal - DAEM
321,78.8,57.3,Municipal - DAEM
608,75.3,58.2,Municipal - DAEM
666,83.9,70.4,Municipal - DAEM
242,73.1,55.8,Municipal - DAEM
262,80.9,66.4,Municipal - DAEM
572,85.3,69.2,Municipal - DAEM
231,85.7,75.3,Municipal - DAEM
218,86.7,67.9,Municipal - DAEM
115,81.7,61.7,Municipal - DAEM
569,81.7,65.6,Municipal - DAEM
7,85.7,71.4,Municipal - DAEM
13,69.2,69.2,Municipal - DAEM
20,100,70,Municipal - DAEM
50,92,80,Municipal - DAEM
17,70.6,35.3,Municipal - DAEM
35,91.4,85.7,Municipal - DAEM
713,56,34.8,Particular Subvencionado
359,52.4,37.9,Particular Subvencionado
314,72.6,54.8,Municipal - DAEM
15,80,66.7,Municipal - DAEM
34,82.4,61.8,Municipal - DAEM
28,92.9,71.4,Municipal - DAEM
17,82.4,82.4,Municipal - DAEM
247,86.6,77.7,Municipal - DAEM
299,77.9,66.2,Municipal - DAEM
19,100,84.2,Municipal - DAEM
260,58.8,40.4,Particular Subvencionado
161,88.8,69.6,Municipal - DAEM
12,83.3,58.3,Municipal - DAEM
22,95.5,59.1,Municipal - DAEM
9,100,88.9,Municipal - DAEM
6,83.3,50,Municipal - DAEM
175,84.6,62.9,Municipal - DAEM
7,100,57.1,Municipal - DAEM
11,81.8,63.6,Municipal - DAEM
3,100,66.7,Municipal - DAEM
8,87.5,87.5,Municipal - DAEM
6,100,100,Municipal - DAEM
8,100,50,Municipal - DAEM
4,100,100,Municipal - DAEM
4,75,75,Municipal - DAEM
39,87.2,66.7,Municipal - Corporacion
73,69.9,38.4,Municipal - Corporacion
770,79.5,52.7,Municipal - Corporacion
245,73.5,46.1,Municipal - Corporacion
347,73.2,46.4,Municipal - Corporacion
294,86.1,69,Municipal - Corporacion
384,71.4,42.2,Municipal - Corporacion
313,62.9,39,Municipal - Corporacion
359,81.6,58.5,Municipal - Corporacion
299,75.3,45.5,Municipal - Corporacion
318,71.7,45.3,Municipal - Corporacion
260,84.2,61.5,Municipal - Corporacion
61,96.7,83.6,Municipal - Corporacion
304,87.2,67.1,Municipal - Corporacion
255,68.6,37.6,Municipal - Corporacion
149,84.6,63.8,Municipal - Corporacion
79,77.2,49.4,Municipal - Corporacion
73,86.3,67.1,Municipal - Corporacion
117,76.9,50.4,Municipal - Corporacion
102,81.4,55.9,Municipal - Corporacion
84,77.4,54.8,Municipal - Corporacion
96,74,54.2,Municipal - Corporacion
5,60,20,Municipal - Corporacion
2,50,50,Municipal - Corporacion
81,79,54.3,Municipal - Corporacion
4,100,50,Municipal - Corporacion
12,75,33.3,Municipal - Corporacion
134,84.3,69.4,Municipal - Corporacion
147,79.6,57.8,Municipal - Corporacion
12,75,41.7,Municipal - Corporacion
104,75,46.2,Municipal - Corporacion
20,85,45,Municipal - Corporacion
127,81.1,53.5,Municipal - Corporacion
4,100,75,Municipal - Corporacion
4,100,75,Municipal - Corporacion
478,60.5,37.7,Particular Subvencionado
252,86.5,68.3,Particular Subvencionado
691,65.6,40.2,Particular Subvencionado
319,48.6,21.9,Particular Subvencionado
345,51.6,25.8,Particular Subvencionado
313,44.7,20.8,Particular Subvencionado
322,64.6,33.9,Particular Subvencionado
46,71.7,41.3,Particular Subvencionado
21,90.5,71.4,Municipal - Corporacion
696,45,19.7,Particular Subvencionado
990,37.3,15.5,Particular Subvencionado
422,50.9,27.7,Particular Subvencionado
588,45.6,22.4,Particular Subvencionado
546,33.7,15.6,Particular Subvencionado
203,49.8,22.7,Particular Subvencionado
508,54.9,29.1,Particular Subvencionado
60,55,28.3,Particular Subvencionado
195,84.1,64.6,Municipal - DAEM
23,100,91.3,Municipal - DAEM
111,90.1,64,Municipal - DAEM
118,89.8,74.6,Municipal - DAEM
26,96.2,84.6,Municipal - DAEM
19,94.7,89.5,Municipal - DAEM
15,80,33.3,Municipal - DAEM
219,89,67.6,Municipal - DAEM
473,78.4,45,Municipal - DAEM
307,86.3,65.8,Municipal - DAEM
180,92.8,73.3,Municipal - DAEM
572,76.9,49,Municipal - DAEM
251,88,62.9,Municipal - DAEM
458,89.1,69,Municipal - DAEM
335,80.6,56.7,Municipal - DAEM
168,84.5,64.3,Municipal - DAEM
163,92,71.2,Municipal - DAEM
464,81,52.4,Municipal - DAEM
150,74.7,49.3,Municipal - DAEM
367,77.7,46.9,Municipal - DAEM
302,79.1,57.9,Municipal - DAEM
308,79.9,50.6,Municipal - DAEM
293,78.5,46.4,Municipal - DAEM
41,87.8,65.9,Municipal - DAEM
8,75,50,Municipal - DAEM
173,77.5,48,Municipal - DAEM
4,100,75,Municipal - DAEM
33,69.7,51.5,Municipal - DAEM
1,100,0,Municipal - DAEM
41,80.5,51.2,Municipal - DAEM
124,82.3,54.8,Municipal - DAEM
85,68.2,35.3,Municipal - DAEM
25,92,68,Municipal - DAEM
1,100,0,Municipal - DAEM
739,77,47.9,Particular Subvencionado
265,75.8,49.4,Particular Subvencionado
646,53.6,28.2,Particular Subvencionado
777,63.3,33.7,Particular Subvencionado
316,75.6,44,Particular Subvencionado
296,59.8,30.4,Particular Subvencionado
215,90.7,83.3,Municipal - DAEM
181,90.1,72.9,Municipal - DAEM
8,100,87.5,Municipal - DAEM
8,100,87.5,Municipal - DAEM
9,100,77.8,Municipal - DAEM
566,80.6,66.4,Particular Subvencionado
317,91.2,76.3,Municipal - DAEM
237,88.6,65.4,Municipal - DAEM
126,88.9,69,Municipal - DAEM
121,88.4,69.4,Municipal - DAEM
121,88.4,66.1,Municipal - DAEM
156,89.1,67.9,Municipal - DAEM
10,90,70,Municipal - DAEM
13,100,92.3,Municipal - DAEM
42,90.5,66.7,Municipal - DAEM
62,88.7,69.4,Municipal - DAEM
20,90,85,Municipal - DAEM
111,84.7,58.6,Municipal - DAEM
14,92.9,71.4,Municipal - DAEM
19,94.7,63.2,Municipal - DAEM
6,100,83.3,Municipal - DAEM
18,88.9,50,Municipal - DAEM
9,77.8,55.6,Municipal - DAEM
537,77.3,55.1,Particular Subvencionado
150,85.3,58,Municipal - DAEM
145,74.5,46.2,Municipal - DAEM
13,92.3,76.9,Municipal - DAEM
88,83,53.4,Municipal - DAEM
4,100,100,Municipal - DAEM
20,90,50,Municipal - DAEM
21,81,57.1,Municipal - DAEM
13,100,76.9,Municipal - DAEM
16,93.8,87.5,Municipal - DAEM
229,77.3,54.6,Municipal - DAEM
543,82.7,60.4,Municipal - DAEM
610,78.5,51.6,Municipal - DAEM
268,90.3,65.7,Municipal - DAEM
264,89.8,68.9,Municipal - DAEM
197,91.4,69,Municipal - DAEM
314,87.9,65.6,Municipal - DAEM
432,82.6,59,Municipal - DAEM
223,79.8,52,Municipal - DAEM
351,90,67.5,Municipal - DAEM
153,86.3,61.4,Municipal - DAEM
351,85.8,56.1,Municipal - DAEM
105,85.7,66.7,Municipal - DAEM
525,85.7,61.7,Municipal - DAEM
168,86.3,63.1,Municipal - DAEM
26,84.6,61.5,Municipal - DAEM
5,80,80,Municipal - DAEM
165,93.9,75.2,Municipal - DAEM
3,100,100,Municipal - DAEM
4,50,0,Municipal - DAEM
19,94.7,84.2,Municipal - DAEM
66,92.4,72.7,Municipal - DAEM
127,89,67.7,Municipal - DAEM
40,82.5,52.5,Municipal - DAEM
51,82.4,56.9,Municipal - DAEM
4,100,75,Municipal - DAEM
11,81.8,45.5,Municipal - DAEM
106,86.8,52.8,Municipal - DAEM
82,96.3,82.9,Municipal - DAEM
57,93,68.4,Municipal - DAEM
24,87.5,58.3,Municipal - DAEM
3,100,100,Municipal - DAEM
5,80,80,Municipal - DAEM
70,84.3,64.3,Municipal - DAEM
9,66.7,66.7,Municipal - DAEM
84,90.5,53.6,Municipal - DAEM
10,80,60,Municipal - DAEM
121,86.8,66.9,Municipal - DAEM
12,66.7,50,Municipal - DAEM
3,100,100,Municipal - DAEM
15,66.7,46.7,Municipal - DAEM
93,80.6,57,Municipal - DAEM
7,85.7,57.1,Municipal - DAEM
21,90.5,61.9,Municipal - DAEM
11,100,90.9,Municipal - DAEM
18,94.4,61.1,Municipal - DAEM
720,71,45.6,Particular Subvencionado
1075,73.7,44.9,Particular Subvencionado
335,68.4,41.2,Particular Subvencionado
44,95.5,70.5,Particular Subvencionado
706,53.1,27.6,Particular Subvencionado
3,100,66.7,Particular Subvencionado
69,79.7,53.6,Municipal - DAEM
136,89,66.2,Municipal - DAEM
27,92.6,81.5,Municipal - DAEM
2,100,100,Municipal - DAEM
11,45.5,45.5,Municipal - DAEM
26,100,80.8,Municipal - DAEM
19,73.7,57.9,Municipal - DAEM
7,71.4,57.1,Municipal - DAEM
5,80,20,Municipal - DAEM
2,100,50,Municipal - DAEM
1,0,0,Municipal - DAEM
1,100,100,Municipal - DAEM
6,50,33.3,Municipal - DAEM
6,83.3,83.3,Municipal - DAEM
9,100,100,Municipal - DAEM
5,100,80,Municipal - DAEM
