v1,v2,v3,v4
18,83.3,77.8,Municipal - DAEM
25,96,76,Municipal - DAEM
38,89.5,81.6,Municipal - DAEM
24,79.2,50,Municipal - DAEM
5,80,40,Municipal - DAEM
18,88.9,55.6,Municipal - DAEM
166,84.3,58.4,Municipal - DAEM
89,93.3,68.5,Municipal - DAEM
18,72.2,50,Municipal - DAEM
102,86.3,64.7,Municipal - DAEM
225,85.8,61.8,Municipal - DAEM
42,88.1,66.7,Municipal - DAEM
74,95.9,81.1,Municipal - DAEM
4,75,25,Municipal - DAEM
13,100,84.6,Municipal - DAEM
9,88.9,66.7,Municipal - DAEM
5,80,80,Municipal - DAEM
8,100,75,Municipal - DAEM
9,88.9,66.7,Municipal - DAEM
4,100,100,Municipal - DAEM
15,86.7,60,Municipal - DAEM
424,80,53.8,Municipal - DAEM
155,83.2,58.7,Municipal - DAEM
792,75.6,46.3,Municipal - DAEM
106,94.3,78.3,Municipal - DAEM
425,78.6,51.3,Municipal - DAEM
338,82.8,50.9,Municipal - DAEM
193,78.8,56.5,Municipal - DAEM
401,82.5,56.4,Municipal - DAEM
889,73.3,47.6,Municipal - DAEM
266,90.2,62,Municipal - DAEM
67,85.1,65.7,Municipal - DAEM
314,91.4,66.9,Municipal - DAEM
157,93.6,74.5,Municipal - DAEM
70,97.1,88.6,Municipal - DAEM
380,85.8,48.7,Municipal - DAEM
56,91.1,69.6,Municipal - DAEM
279,88.9,63.8,Municipal - DAEM
210,79,47.1,Municipal - DAEM
74,83.8,52.7,Municipal - DAEM
21,95.2,81,Municipal - DAEM
157,82.8,55.4,Municipal - DAEM
39,87.2,56.4,Municipal - DAEM
54,75.9,46.3,Municipal - DAEM
100,93,75,Municipal - DAEM
19,100,15.8,Municipal - DAEM
19,100,73.7,Municipal - DAEM
56,66.1,37.5,Municipal - DAEM
6,100,100,Municipal - DAEM
28,78.6,46.4,Municipal - DAEM
3,100,66.7,Municipal - DAEM
112,84.8,61.6,Municipal - DAEM
58,89.7,60.3,Municipal - DAEM
1050,58.4,31,Particular Subvencionado
316,39.9,18,Particular Subvencionado
459,47.7,24.4,Particular Subvencionado
592,87.8,63.5,Municipal - DAEM
220,91.8,61.8,Municipal - DAEM
89,92.1,61.8,Particular Subvencionado
76,93.4,43.4,Municipal - DAEM
151,86.8,54.3,Municipal - DAEM
253,89.7,53,Municipal - DAEM
249,87.1,59.4,Municipal - DAEM
121,90.9,62,Municipal - DAEM
76,94.7,65.8,Municipal - DAEM
76,85.5,57.9,Municipal - DAEM
34,94.1,50,Municipal - DAEM
83,81.9,50.6,Municipal - DAEM
25,88,56,Municipal - DAEM
314,86.9,51.9,Municipal - DAEM
14,85.7,57.1,Municipal - DAEM
62,80.6,59.7,Municipal - DAEM
33,93.9,75.8,Particular Subvencionado
190,91.1,65.8,Municipal - DAEM
333,83.2,55.3,Municipal - DAEM
152,92.1,74.3,Municipal - DAEM
161,86.3,65.8,Municipal - DAEM
108,95.4,76.9,Municipal - DAEM
33,87.9,75.8,Municipal - DAEM
62,91.9,67.7,Municipal - DAEM
42,100,76.2,Municipal - DAEM
28,92.9,60.7,Municipal - DAEM
19,94.7,52.6,Particular Subvencionado
95,97.9,77.9,Municipal - DAEM
383,86.7,60.1,Municipal - DAEM
178,92.1,75.8,Municipal - DAEM
102,85.3,61.8,Municipal - DAEM
160,88.1,70,Municipal - DAEM
88,95.5,76.1,Municipal - DAEM
268,89.2,64.9,Municipal - DAEM
29,100,44.8,Municipal - DAEM
386,85,61.1,Municipal - DAEM
128,83.6,53.9,Municipal - DAEM
18,88.9,61.1,Municipal - DAEM
13,84.6,46.2,Municipal - DAEM
31,83.9,54.8,Municipal - DAEM
4,100,75,Municipal - DAEM
16,87.5,68.8,Municipal - DAEM
226,92.5,58.4,Municipal - DAEM
28,85.7,64.3,Municipal - DAEM
20,100,55,Municipal - DAEM
653,68.9,40,Particular Subvencionado
401,67.1,44.4,Particular Subvencionado
272,86.8,63.2,Municipal - DAEM
408,84.8,52.9,Municipal - DAEM
163,83.4,56.4,Municipal - DAEM
220,87.3,48.2,Municipal - DAEM
300,87,55,Municipal - DAEM
148,83.8,46.6,Municipal - DAEM
2,50,50,Municipal - DAEM
87,88.5,58.6,Municipal - DAEM
94,86.2,53.2,Municipal - DAEM
22,86.4,59.1,Municipal - DAEM
4,75,50,Municipal - DAEM
114,95.6,80.7,Municipal - DAEM
91,90.1,68.1,Municipal - DAEM
31,83.9,61.3,Municipal - DAEM
33,100,81.8,Municipal - DAEM
5,100,100,Municipal - DAEM
2,100,100,Municipal - DAEM
30,93.3,73.3,Municipal - DAEM
16,100,81.3,Municipal - DAEM
179,82.7,61.5,Municipal - DAEM
22,95.5,72.7,Particular Subvencionado
387,75.7,54,Municipal - DAEM
32,100,96.9,Municipal - DAEM
159,85.5,64.8,Municipal - DAEM
22,100,72.7,Municipal - DAEM
35,85.7,65.7,Municipal - DAEM
114,79.8,64,Municipal - DAEM
174,84.5,56.9,Municipal - DAEM
66,83.3,57.6,Municipal - DAEM
27,100,85.2,Municipal - DAEM
3,100,100,Municipal - DAEM
364,90.7,67.3,Municipal - DAEM
102,95.1,71.6,Municipal - DAEM
162,95.7,83.3,Municipal - DAEM
9,77.8,77.8,Municipal - DAEM
213,91.1,68.1,Municipal - DAEM
6,100,83.3,Municipal - DAEM
453,74.6,47.7,Municipal - DAEM
135,63,44.4,Municipal - DAEM
106,86.8,65.1,Municipal - DAEM
173,94.2,76.9,Municipal - DAEM
1095,78.8,56.7,Municipal - DAEM
25,96,88,Municipal - DAEM
791,70.8,46.6,Municipal - DAEM
349,97.1,81.4,Municipal - DAEM
436,82.3,58,Municipal - DAEM
45,95.6,82.2,Municipal - DAEM
997,72,44.9,Municipal - DAEM
905,67.4,43.2,Municipal - DAEM
257,84.8,61.5,Municipal - DAEM
160,86.3,65,Municipal - DAEM
137,97.8,87.6,Municipal - DAEM
117,94,76.9,Municipal - DAEM
462,76.6,53.7,Municipal - DAEM
426,85.4,66,Municipal - DAEM
482,84.2,63.3,Municipal - DAEM
225,90.2,67.1,Municipal - DAEM
661,85,62.9,Municipal - DAEM
450,84.4,67.8,Municipal - DAEM
135,87.4,74.8,Municipal - DAEM
162,86.4,71,Municipal - DAEM
351,89.7,70.4,Municipal - DAEM
268,56.7,35.1,Municipal - DAEM
131,83.2,56.5,Municipal - DAEM
129,88.4,64.3,Municipal - DAEM
211,84.4,55.5,Municipal - DAEM
241,85.9,71,Municipal - DAEM
55,90.9,69.1,Municipal - DAEM
135,84.4,58.5,Municipal - DAEM
60,83.3,61.7,Municipal - DAEM
86,80.2,51.2,Municipal - DAEM
49,83.7,63.3,Municipal - DAEM
588,77,52.6,Particular Subvencionado
555,63.8,39.5,Particular Subvencionado
773,46.4,27.3,Particular Subvencionado
244,81.6,59.8,Particular Subvencionado
1025,64.4,37,Particular Subvencionado
527,72.7,49.7,Particular Subvencionado
288,78.5,46.5,Particular Subvencionado
335,62.1,39.7,Particular Subvencionado
103,96.1,78.6,Particular Subvencionado
336,61.3,39.6,Particular Subvencionado
671,70.9,44,Particular Subvencionado
100,98,87,Particular Subvencionado
203,84.2,58.6,Particular Subvencionado
556,69.8,42.3,Particular Subvencionado
145,93.8,69,Municipal - DAEM
520,85.4,61.3,Municipal - DAEM
198,85.4,61.1,Municipal - DAEM
118,94.9,71.2,Municipal - DAEM
75,88,76,Municipal - DAEM
68,100,75,Municipal - DAEM
18,88.9,66.7,Municipal - DAEM
114,95.6,64,Municipal - DAEM
22,95.5,50,Municipal - DAEM
51,90.2,58.8,Municipal - DAEM
42,85.7,71.4,Municipal - DAEM
15,100,73.3,Municipal - DAEM
142,88,58.5,Particular Subvencionado
485,83.5,57.1,Municipal - DAEM
161,82,50.9,Municipal - DAEM
35,88.6,51.4,Municipal - DAEM
202,88.1,59.9,Municipal - DAEM
57,94.7,57.9,Municipal - DAEM
263,83.7,49.8,Municipal - DAEM
9,88.9,77.8,Municipal - DAEM
8,87.5,37.5,Municipal - DAEM
77,90.9,75.3,Municipal - DAEM
11,81.8,63.6,Municipal - DAEM
15,86.7,66.7,Municipal - DAEM
26,80.8,61.5,Municipal - DAEM
576,96.5,79.9,Municipal - DAEM
146,99.3,90.4,Municipal - DAEM
159,92.5,69.2,Municipal - DAEM
219,94.1,72.6,Municipal - DAEM
377,96.3,76.7,Municipal - DAEM
68,98.5,89.7,Municipal - DAEM
65,93.8,67.7,Municipal - DAEM
114,96.5,74.6,Municipal - DAEM
82,93.9,82.9,Municipal - DAEM
40,97.5,85,Municipal - DAEM
63,92.1,74.6,Municipal - DAEM
127,91.3,68.5,Municipal - DAEM
139,98.6,83.5,Municipal - DAEM
18,100,88.9,Municipal - DAEM
64,98.4,70.3,Municipal - DAEM
11,100,100,Municipal - DAEM
2,100,100,Municipal - DAEM
40,97.5,82.5,Municipal - DAEM
3,100,100,Municipal - DAEM
89,96.6,82,Municipal - DAEM
10,100,80,Municipal - DAEM
21,90.5,76.2,Municipal - DAEM
83,95.2,71.1,Municipal - DAEM
93,95.7,83.9,Municipal - DAEM
4,100,75,Municipal - DAEM
143,89.5,62.2,Municipal - DAEM
5,80,40,Municipal - DAEM
23,95.7,91.3,Municipal - DAEM
90,100,81.1,Municipal - DAEM
1,0,0,Municipal - DAEM
4,100,100,Municipal - DAEM
5,100,100,Municipal - DAEM
15,100,86.7,Municipal - DAEM
30,100,83.3,Municipal - DAEM
62,95.2,74.2,Municipal - DAEM
347,83,58.8,Particular Subvencionado
429,91.1,72.3,Municipal - DAEM
482,87.1,69.1,Municipal - DAEM
118,95.8,73.7,Municipal - DAEM
201,98,80.1,Municipal - DAEM
264,90.9,72,Municipal - DAEM
121,89.3,66.9,Municipal - DAEM
156,96.8,82.1,Municipal - DAEM
85,98.8,85.9,Municipal - DAEM
9,77.8,66.7,Municipal - DAEM
17,88.2,76.5,Municipal - DAEM
40,92.5,70,Municipal - DAEM
5,80,40,Municipal - DAEM
12,100,50,Municipal - DAEM
19,94.7,78.9,Municipal - DAEM
334,91,64.1,Municipal - DAEM
2,100,100,Municipal - DAEM
101,95,79.2,Municipal - DAEM
44,97.7,95.5,Municipal - DAEM
288,93.1,76,Municipal - DAEM
73,95.9,84.9,Municipal - DAEM
71,91.5,78.9,Municipal - DAEM
7,100,85.7,Municipal - DAEM
175,97.7,90.9,Municipal - DAEM
10,100,100,Municipal - DAEM
10,100,90,Municipal - DAEM
14,100,78.6,Municipal - DAEM
7,100,85.7,Municipal - DAEM
6,100,100,Municipal - DAEM
393,83.2,61.3,Municipal - DAEM
221,83.7,62,Municipal - DAEM
912,76.2,47.1,Municipal - DAEM
239,79.5,56.5,Municipal - DAEM
405,82.2,56,Municipal - DAEM
94,93.6,69.1,Municipal - DAEM
27,77.8,48.1,Municipal - DAEM
11,90.9,72.7,Municipal - DAEM
6,100,100,Municipal - DAEM
2,50,50,Municipal - DAEM
6,100,100,Municipal - DAEM
174,89.1,64.9,Municipal - DAEM
6,100,83.3,Municipal - DAEM
8,87.5,37.5,Municipal - DAEM
2,100,100,Municipal - DAEM
3,100,100,Municipal - DAEM
5,80,80,Municipal - DAEM
45,88.9,48.9,Municipal - DAEM
3,100,100,Municipal - DAEM
2,100,100,Municipal - DAEM
4,100,100,Municipal - DAEM
324,65.4,38.6,Particular Subvencionado
665,51.4,27.1,Particular Subvencionado
686,57.4,32.4,Particular Subvencionado
69,92.8,60.9,Municipal - DAEM
425,76,53.4,Municipal - DAEM
4,100,50,Municipal - DAEM
151,90.7,60.3,Municipal - DAEM
16,93.8,87.5,Municipal - DAEM
3,100,100,Municipal - DAEM
3,100,100,Municipal - DAEM
7,100,71.4,Municipal - DAEM
37,91.9,64.9,Municipal - DAEM
11,100,63.6,Municipal - DAEM
4,100,75,Municipal - DAEM
4,100,75,Municipal - DAEM
6,100,100,Municipal - DAEM
7,85.7,57.1,Municipal - DAEM
4,100,100,Municipal - DAEM
11,90.9,72.7,Municipal - DAEM
4,75,25,Municipal - DAEM
6,100,100,Municipal - DAEM
3,100,100,Municipal - DAEM
3,100,100,Municipal - DAEM
72,90.3,77.8,Municipal - DAEM
10,90,70,Municipal - DAEM
6,83.3,83.3,Municipal - DAEM
8,100,75,Municipal - DAEM
182,70.3,42.9,Municipal - DAEM
431,90,68.9,Municipal - DAEM
244,95.5,75.4,Municipal - DAEM
532,81.2,58.3,Municipal - DAEM
35,91.4,71.4,Municipal - DAEM
122,83.6,73.8,Municipal - DAEM
211,86.7,70.6,Municipal - DAEM
472,73.7,47.7,Municipal - DAEM
123,90.2,71.5,Municipal - DAEM
356,81.5,57.6,Municipal - DAEM
144,97.2,76.4,Municipal - DAEM
198,92.4,69.2,Municipal - DAEM
101,94.1,78.2,Municipal - DAEM
127,88.2,60.6,Municipal - DAEM
15,80,46.7,Municipal - DAEM
148,91.9,64.2,Municipal - DAEM
380,85.5,61.1,Municipal - DAEM
295,86.4,68.8,Municipal - DAEM
162,93.2,63.6,Municipal - DAEM
59,84.7,47.5,Municipal - DAEM
14,100,85.7,Municipal - DAEM
2,100,0,Municipal - DAEM
64,92.2,78.1,Municipal - DAEM
2,100,0,Municipal - DAEM
6,100,66.7,Municipal - DAEM
6,100,83.3,Municipal - DAEM
9,100,55.6,Municipal - DAEM
2,100,100,Municipal - DAEM
8,100,87.5,Municipal - DAEM
122,92.6,71.3,Municipal - DAEM
3,100,100,Municipal - DAEM
4,100,75,Municipal - DAEM
7,85.7,71.4,Municipal - DAEM
9,100,66.7,Municipal - DAEM
296,62.8,38.9,Particular Subvencionado
243,93.8,81.5,Particular Subvencionado
309,77.7,53.1,Particular Subvencionado
265,63.8,33.2,Particular Subvencionado
678,75.1,43.5,Particular Subvencionado
223,89.2,63.7,Particular Subvencionado
703,52.6,24.9,Particular Subvencionado
191,94.8,82.7,Particular Subvencionado
711,35.4,15.6,Particular Subvencionado
580,74,49.1,Particular Subvencionado
591,72.4,46.7,Particular Subvencionado
411,81.5,53.5,Particular Subvencionado
320,54.1,28.4,Particular Subvencionado
255,82,55.3,Particular Subvencionado
318,52.2,26.4,Particular Subvencionado
258,94.2,71.7,Municipal - DAEM
160,92.5,70,Municipal - DAEM
160,93.8,63.8,Municipal - DAEM
93,95.7,78.5,Municipal - DAEM
153,95.4,84.3,Municipal - DAEM
82,91.5,62.2,Municipal - DAEM
186,89.2,61.8,Municipal - DAEM
9,100,88.9,Municipal - DAEM
82,91.5,59.8,Municipal - DAEM
8,87.5,50,Municipal - DAEM
162,90.1,65.4,Municipal - DAEM
72,91.7,63.9,Particular Subvencionado
186,90.3,72,Municipal - DAEM
127,94.5,68.5,Municipal - DAEM
173,91.9,68.2,Municipal - DAEM
134,97.8,76.1,Municipal - DAEM
226,90.7,74.8,Municipal - DAEM
320,93.4,76.6,Municipal - DAEM
26,96.2,76.9,Municipal - DAEM
14,100,64.3,Municipal - DAEM
23,100,78.3,Municipal - DAEM
18,88.9,83.3,Municipal - DAEM
4,100,100,Municipal - DAEM
67,91,76.1,Municipal - DAEM
10,100,80,Municipal - DAEM
277,83.8,61.4,Particular Subvencionado
419,91.4,68.5,Municipal - DAEM
131,93.1,61.8,Municipal - DAEM
114,86.8,64,Municipal - DAEM
135,83,56.3,Municipal - DAEM
122,96.7,69.7,Municipal - DAEM
173,79.8,43.9,Municipal - DAEM
69,87,59.4,Municipal - DAEM
105,81.9,46.7,Municipal - DAEM
212,89.2,60.8,Municipal - DAEM
172,86,57,Municipal - DAEM
34,82.4,50,Municipal - DAEM
82,98.8,78,Municipal - DAEM
24,91.7,66.7,Municipal - DAEM
10,100,90,Municipal - DAEM
64,95.3,73.4,Municipal - DAEM
6,66.7,16.7,Municipal - DAEM
59,91.5,54.2,Municipal - DAEM
46,93.5,69.6,Municipal - DAEM
5,100,40,Municipal - DAEM
117,88,54.7,Municipal - DAEM
19,100,68.4,Municipal - DAEM
10,100,80,Municipal - DAEM
111,96.4,68.5,Municipal - DAEM
135,85.9,57.8,Municipal - DAEM
28,82.1,42.9,Municipal - DAEM
4,100,50,Municipal - DAEM
43,90.7,60.5,Particular Subvencionado
23,95.7,69.6,Municipal - DAEM
205,97.6,84.9,Municipal - DAEM
201,94,76.1,Municipal - DAEM
273,97.1,87.2,Municipal - DAEM
305,94.8,77.4,Municipal - DAEM
239,92.9,73.6,Municipal - DAEM
68,88.2,64.7,Municipal - DAEM
112,91.1,68.8,Municipal - DAEM
58,94.8,72.4,Municipal - DAEM
1,0,0,Municipal - DAEM
86,98.8,72.1,Municipal - DAEM
43,97.7,67.4,Municipal - DAEM
3,100,0,Municipal - DAEM
61,86.9,45.9,Municipal - DAEM
9,77.8,55.6,Municipal - DAEM
23,95.7,60.9,Municipal - DAEM
2,100,50,Municipal - DAEM
2,100,100,Municipal - DAEM
4,75,75,Municipal - DAEM
6,66.7,66.7,Municipal - DAEM
4,100,100,Municipal - DAEM
1,100,100,Municipal - DAEM
2,100,100,Municipal - DAEM
313,78.3,51.1,Particular Subvencionado
563,65.4,40.1,Particular Subvencionado
896,76.9,45.6,Particular Subvencionado
234,45.3,23.5,Particular Subvencionado
64,90.6,70.3,Municipal - DAEM
425,96.5,81.6,Municipal - DAEM
147,85,59.2,Municipal - DAEM
84,94,65.5,Municipal - DAEM
16,100,75,Municipal - DAEM
56,89.3,76.8,Municipal - DAEM
135,94.8,65.9,Municipal - DAEM
136,95.6,72.8,Municipal - DAEM
1,100,100,Municipal - DAEM
62,93.5,67.7,Municipal - DAEM
4,75,50,Municipal - DAEM
74,94.6,67.6,Municipal - DAEM
27,77.8,44.4,Municipal - DAEM
25,100,84,Municipal - DAEM
5,100,100,Municipal - DAEM
12,75,33.3,Municipal - DAEM
32,96.9,65.6,Municipal - DAEM
80,95,67.5,Municipal - DAEM
12,91.7,83.3,Municipal - DAEM
43,90.7,46.5,Municipal - DAEM
32,93.8,65.6,Municipal - DAEM
284,91.9,61.3,Particular Subvencionado
16,93.8,87.5,Municipal - DAEM
346,92.2,76.6,Municipal - DAEM
67,88.1,77.6,Municipal - DAEM
246,90.7,74.4,Municipal - DAEM
87,87.4,60.9,Municipal - DAEM
90,86.7,58.9,Municipal - DAEM
55,92.7,72.7,Municipal - DAEM
48,87.5,52.1,Municipal - DAEM
171,90.6,52.6,Municipal - DAEM
125,90.4,63.2,Municipal - DAEM
135,91.9,70.4,Municipal - DAEM
476,86.3,62.4,Municipal - DAEM
306,92.8,71.6,Municipal - DAEM
129,93,75.2,Municipal - DAEM
400,86,63.3,Municipal - DAEM
55,85.5,70.9,Municipal - DAEM
55,90.9,72.7,Municipal - DAEM
190,81.6,46.8,Municipal - DAEM
116,93.1,76.7,Municipal - DAEM
167,95.8,63.5,Municipal - DAEM
115,87,60,Municipal - DAEM
141,83,49.6,Municipal - DAEM
142,79.6,42.3,Municipal - DAEM
12,91.7,83.3,Municipal - DAEM
3,100,100,Municipal - DAEM
9,100,88.9,Municipal - DAEM
3,66.7,66.7,Municipal - DAEM
26,92.3,80.8,Municipal - DAEM
45,88.9,62.2,Municipal - DAEM
5,80,60,Municipal - DAEM
41,85.4,51.2,Municipal - DAEM
4,100,75,Municipal - DAEM
13,84.6,53.8,Municipal - DAEM
3,100,66.7,Municipal - DAEM
5,100,60,Municipal - DAEM
17,70.6,23.5,Municipal - DAEM
2,0,0,Municipal - DAEM
614,74.6,41.7,Particular Subvencionado
585,48.2,22.7,Particular Subvencionado
285,62.8,33.3,Particular Subvencionado
688,69.5,41.6,Particular Subvencionado
716,83.4,60.8,Municipal - DAEM
506,84.2,57.1,Municipal - DAEM
191,86.9,72.3,Municipal - DAEM
372,90.9,73.1,Municipal - DAEM
410,80.2,55.1,Municipal - DAEM
156,94.2,79.5,Municipal - DAEM
340,91.5,69.4,Municipal - DAEM
29,89.7,75.9,Municipal - DAEM
150,90,68.7,Municipal - DAEM
70,87.1,55.7,Municipal - DAEM
65,90.8,67.7,Municipal - DAEM
64,84.4,62.5,Municipal - DAEM
6,100,66.7,Municipal - DAEM
13,100,92.3,Municipal - DAEM
8,75,75,Municipal - DAEM
3,100,100,Municipal - DAEM
12,100,66.7,Municipal - DAEM
22,81.8,63.6,Municipal - DAEM
7,100,100,Municipal - DAEM
15,93.3,86.7,Municipal - DAEM
5,100,80,Municipal - DAEM
4,100,75,Municipal - DAEM
7,100,100,Municipal - DAEM
35,97.1,82.9,Municipal - DAEM
5,100,80,Municipal - DAEM
7,71.4,42.9,Municipal - DAEM
16,100,87.5,Municipal - DAEM
13,100,76.9,Municipal - DAEM
36,97.2,83.3,Municipal - DAEM
25,100,84,Municipal - DAEM
570,48.9,28.1,Particular Subvencionado
389,88.4,71.2,Municipal - DAEM
264,78,58,Municipal - DAEM
95,88.4,76.8,Municipal - DAEM
13,100,92.3,Municipal - DAEM
15,100,73.3,Municipal - DAEM
13,100,84.6,Municipal - DAEM
8,75,62.5,Municipal - DAEM
288,81.9,55.9,Municipal - DAEM
264,79.5,64.4,Municipal - DAEM
153,88.9,61.4,Municipal - DAEM
43,90.7,74.4,Municipal - DAEM
25,96,76,Municipal - DAEM
29,100,89.7,Municipal - DAEM
14,100,71.4,Municipal - DAEM
6,100,83.3,Municipal - DAEM
27,92.6,77.8,Municipal - DAEM
27,100,59.3,Municipal - DAEM
14,92.9,71.4,Municipal - DAEM
5,100,20,Municipal - DAEM
5,100,60,Municipal - DAEM
2,100,100,Municipal - DAEM
6,100,33.3,Municipal - DAEM
49,83.7,67.3,Municipal - DAEM
33,90.9,60.6,Municipal - DAEM
179,89.4,70.9,Municipal - DAEM
499,76.4,47.9,Municipal - DAEM
251,86.5,68.5,Municipal - DAEM
420,90.5,65.5,Municipal - DAEM
86,96.5,66.3,Municipal - DAEM
191,79.6,56,Municipal - DAEM
120,90,74.2,Municipal - DAEM
429,83,59.7,Municipal - DAEM
693,71.6,43.1,Municipal - DAEM
118,95.8,76.3,Municipal - DAEM
70,84.3,77.1,Municipal - DAEM
130,88.5,80.8,Municipal - DAEM
137,83.2,59.1,Municipal - DAEM
222,88.7,70.3,Municipal - DAEM
548,75.5,49.8,Municipal - DAEM
247,83,62.8,Municipal - DAEM
121,91.7,76.9,Municipal - DAEM
135,77.8,64.4,Municipal - DAEM
70,92.9,64.3,Municipal - DAEM
162,85.8,63,Municipal - DAEM
172,74.4,51.7,Municipal - DAEM
69,81.2,62.3,Municipal - DAEM
98,80.6,51,Municipal - DAEM
115,83.5,52.2,Municipal - DAEM
190,76.3,53.7,Municipal - DAEM
29,82.8,55.2,Municipal - DAEM
22,100,72.7,Municipal - DAEM
10,100,100,Municipal - DAEM
33,81.8,57.6,Municipal - DAEM
3,100,100,Municipal - DAEM
29,82.8,51.7,Municipal - DAEM
41,92.7,75.6,Municipal - DAEM
112,83.9,53.6,Municipal - DAEM
45,80,62.2,Municipal - DAEM
76,88.2,64.5,Municipal - DAEM
52,84.6,67.3,Municipal - DAEM
17,100,64.7,Municipal - DAEM
500,59.2,35,Particular Subvencionado
1136,22.9,8.7,Particular Subvencionado
647,72.2,48.8,Particular Subvencionado
112,91.1,74.1,Particular Subvencionado
579,71.3,45.8,Particular Subvencionado
794,36.4,15,Particular Subvencionado
413,76,48.2,Particular Subvencionado
922,82.9,55.6,Particular Subvencionado
654,52.3,27.4,Particular Subvencionado
252,88.9,72.6,Particular Subvencionado
547,52.5,29.3,Particular Subvencionado
337,69.7,43.9,Particular Subvencionado
269,75.1,52.4,Particular Subvencionado
224,88.8,69.6,Particular Subvencionado
194,73.7,45.4,Particular Subvencionado
299,65.6,40.1,Particular Subvencionado
233,97.4,80.7,Municipal - DAEM
413,88.9,72.6,Municipal - DAEM
254,96.9,84.3,Municipal - DAEM
288,95.1,79.9,Municipal - DAEM
143,96.5,86,Municipal - DAEM
33,93.9,90.9,Municipal - DAEM
146,92.5,56.8,Municipal - DAEM
21,95.2,71.4,Municipal - DAEM
78,97.4,75.6,Municipal - DAEM
124,97.6,76.6,Municipal - DAEM
135,95.6,67.4,Municipal - DAEM
156,98.1,76.9,Municipal - DAEM
19,100,84.2,Municipal - DAEM
191,95.3,81.2,Municipal - DAEM
31,100,83.9,Municipal - DAEM
51,98,86.3,Municipal - DAEM
136,88.2,64.7,Municipal - DAEM
23,100,91.3,Municipal - DAEM
44,100,81.8,Municipal - DAEM
29,100,75.9,Municipal - DAEM
139,92.1,74.1,Municipal - DAEM
11,81.8,54.5,Municipal - DAEM
550,71.5,41.3,Particular Subvencionado
590,86.4,57.1,Particular Subvencionado
648,90,64.5,Particular Subvencionado
133,90.2,67.7,Municipal - DAEM
149,96,73.2,Municipal - DAEM
60,96.7,73.3,Municipal - DAEM
102,96.1,73.5,Municipal - DAEM
321,93.8,69.2,Municipal - DAEM
9,100,77.8,Municipal - DAEM
66,95.5,78.8,Municipal - DAEM
9,100,88.9,Municipal - DAEM
12,83.3,83.3,Municipal - DAEM
30,96.7,73.3,Municipal - DAEM
107,93.5,66.4,Municipal - DAEM
29,82.8,65.5,Municipal - DAEM
67,89.6,65.7,Municipal - DAEM
315,93.7,76.5,Municipal - DAEM
11,90.9,63.6,Municipal - DAEM
10,80,80,Municipal - DAEM
111,95.5,82,Municipal - DAEM
20,100,80,Municipal - DAEM
44,97.7,79.5,Municipal - DAEM
419,94.5,77.8,Municipal - DAEM
95,91.6,61.1,Municipal - DAEM
44,97.7,84.1,Municipal - DAEM
53,98.1,86.8,Municipal - DAEM
196,88.3,55.6,Municipal - DAEM
78,92.3,78.2,Municipal - DAEM
122,91,65.6,Municipal - DAEM
135,86.7,52.6,Municipal - DAEM
263,84.4,51.7,Municipal - DAEM
22,90.9,77.3,Municipal - DAEM
100,84,63,Municipal - DAEM
6,100,33.3,Municipal - DAEM
4,100,100,Municipal - DAEM
17,94.1,82.4,Municipal - DAEM
15,100,66.7,Municipal - DAEM
5,100,100,Municipal - DAEM
128,91.4,79.7,Municipal - DAEM
114,97.4,71.9,Municipal - DAEM
20,95,80,Municipal - DAEM
12,100,83.3,Municipal - DAEM
5,100,80,Municipal - DAEM
297,59.3,33.7,Particular Subvencionado
70,100,80,Particular Subvencionado
17,100,88.2,Particular Subvencionado
1,100,100,Particular Subvencionado
175,89.7,74.9,Municipal - DAEM
55,81.8,36.4,Municipal - DAEM
32,96.9,78.1,Municipal - DAEM
19,100,100,Municipal - DAEM
2,100,50,Municipal - DAEM
19,100,73.7,Municipal - DAEM
32,87.5,71.9,Municipal - DAEM
22,86.4,77.3,Municipal - DAEM
368,81,51.4,Particular Subvencionado
207,95.7,72.9,Municipal - DAEM
87,94.3,67.8,Municipal - DAEM
189,93.1,69.8,Municipal - DAEM
113,94.7,69.9,Municipal - DAEM
46,97.8,82.6,Municipal - DAEM
17,100,58.8,Municipal - DAEM
41,97.6,78,Municipal - DAEM
21,100,61.9,Municipal - DAEM
68,95.6,80.9,Municipal - DAEM
12,100,58.3,Municipal - DAEM
46,97.8,67.4,Municipal - DAEM
14,92.9,64.3,Municipal - DAEM
31,93.5,71,Municipal - DAEM
385,89.1,61,Particular Subvencionado
686,89.1,74.5,Municipal - DAEM
62,96.8,85.5,Municipal - DAEM
116,100,84.5,Municipal - DAEM
24,95.8,91.7,Municipal - DAEM
57,96.5,84.2,Municipal - DAEM
5,100,40,Municipal - DAEM
30,100,73.3,Municipal - DAEM
21,95.2,85.7,Municipal - DAEM
12,100,91.7,Municipal - DAEM
39,100,82.1,Municipal - DAEM
9,100,88.9,Municipal - DAEM
21,95.2,90.5,Municipal - DAEM
10,90,50,Municipal - DAEM
15,100,73.3,Municipal - DAEM
7,85.7,57.1,Municipal - DAEM
8,87.5,75,Municipal - DAEM
16,100,93.8,Municipal - DAEM
55,96.4,89.1,Municipal - DAEM
20,95,75,Municipal - DAEM
254,78.3,58.3,Municipal - DAEM
4,100,100,Municipal - DAEM
